packageName, version, purpose
lubridate, 1.6.0 # Make Dealing with Dates a Little Easier
anytime, 0.3.0 # Anything to 'POSIXct' or 'Date' Converter
tidyverse, 1.2.1 # Easily Install and Load the 'Tidyverse'
jsonlite, 1.5 # A Robust High Performance JSON Parser and Generator for R
here, 0.1 # A Simpler Way to Find Your Files
ggplot2, 2.2.1 # Create Elegant Data Visualisations Using the Grammar of Graphics
reshape2, 2.2.1 # Flexibly Reshape Data: A Reboot of the Reshape Package
nortest,1.0-4 # Tests for Normality
lazyeval, 0.2.1 # Lazy (Non-Standard) Evaluation
maptools, 0.9-2 # Tools for Reading and Handling Spatial Objects
rmarkdown, 1.8 # Dynamic Documents for R
knitr, 1.18 # A General-Purpose Package for Dynamic Report Generation in R
maps, 3.2.0 # Draw Geographical Maps
broom, 0.4.3 # Convert Statistical Analysis Objects into Tidy Data Frames
stringr, 1.2.0 # Simple, Consistent Wrappers for Common String Operations
RPostgreSQL,0.6-2 # R Interface to the 'PostgreSQL' Database System
chron, 2.3-52 # Chronological Objects which can Handle Dates and Times
readr, 1.1.1 # Read Rectangular Text Data
plotly, 4.7.1 # Create Interactive Web Graphics via 'plotly.js'
ggpubr, 0.1.6 # 'ggplot2' Based Publication Ready Plots
BlandAltmanLeh, 0.3.1 # Plots (Slightly Extended) Bland-Altman Plots
